age,death_prob,ly,le,sex
0,0.006519,100000,76.28,male
1,0.000462,99348,75.78,male
2,0.000291,99302,74.82,male
3,0.000209,99273,73.84,male
4,0.000176,99252,72.85,male
5,0.000159,99235,71.87,male
6,0.000146,99219,70.88,male
7,0.000133,99205,69.89,male
8,0.000118,99192,68.9,male
9,0.000102,99180,67.9,male
10,0.000091,99170,66.91,male
11,0.000096,99161,65.92,male
12,0.000128,99151,64.92,male
13,0.000195,99138,63.93,male
14,0.000288,99119,62.94,male
15,0.000389,99091,61.96,male
16,0.000492,99052,60.99,male
17,0.000607,99003,60.02,male
18,0.000735,98943,59.05,male
19,0.000869,98870,58.09,male
20,0.001011,98785,57.14,male
21,0.001145,98685,56.2,male
22,0.001246,98572,55.27,male
23,0.001301,98449,54.33,male
24,0.001321,98321,53.4,male
25,0.00133,98191,52.47,male
26,0.001345,98060,51.54,male
27,0.001363,97928,50.61,male
28,0.001391,97795,49.68,male
29,0.001427,97659,48.75,male
30,0.001467,97519,47.82,male
31,0.001505,97376,46.89,male
32,0.001541,97230,45.96,male
33,0.001573,97080,45.03,male
34,0.001606,96927,44.1,male
35,0.001648,96772,43.17,male
36,0.001704,96612,42.24,male
37,0.001774,96448,41.31,male
38,0.001861,96277,40.38,male
39,0.001967,96097,39.46,male
40,0.002092,95908,38.53,male
41,0.00224,95708,37.61,male
42,0.002418,95493,36.7,male
43,0.002629,95262,35.78,male
44,0.002873,95012,34.88,male
45,0.003146,94739,33.98,male
46,0.003447,94441,33.08,male
47,0.003787,94115,32.19,male
48,0.004167,93759,31.32,male
49,0.004586,93368,30.44,male
50,0.005038,92940,29.58,male
51,0.00552,92472,28.73,male
52,0.006036,91961,27.89,male
53,0.006587,91406,27.05,male
54,0.00717,90804,26.23,male
55,0.007801,90153,25.41,male
56,0.008466,89450,24.61,male
57,0.009133,88693,23.82,male
58,0.009792,87883,23.03,male
59,0.010462,87022,22.25,male
60,0.011197,86112,21.48,male
61,0.012009,85147,20.72,male
62,0.012867,84125,19.97,male
63,0.013772,83042,19.22,male
64,0.014749,81899,18.48,male
65,0.015852,80691,17.75,male
66,0.017097,79412,17.03,male
67,0.018463,78054,16.32,male
68,0.019959,76613,15.61,male
69,0.021616,75084,14.92,male
70,0.023528,73461,14.24,male
71,0.025693,71732,13.57,male
72,0.028041,69889,12.92,male
73,0.030567,67930,12.27,male
74,0.033347,65853,11.65,male
75,0.036572,63657,11.03,male
76,0.040276,61329,10.43,male
77,0.044348,58859,9.85,male
78,0.048797,56249,9.28,male
